mechanism,target_rate,actual_rate,method,bias,rmse,variance_ratio
MCAR,0.1,0.1,mean,-0.07911901763304513,1.545670092707663,0.8181840401430602
MCAR,0.1,0.1,forward_fill,0.014597360005316279,0.7510094524217058,1.0841497886560219
MCAR,0.1,0.1,linear_interpolation,-0.013612472547769303,0.5525655436449187,0.9946692553424296
MCAR,0.1,0.1,regression,-0.06401367565545457,1.0483050451455012,0.8890266938736986
MCAR,0.2,0.199,mean,-0.025052839922471384,1.785159111560052,0.7568881494907056
MCAR,0.2,0.199,forward_fill,0.002894746600430098,1.094768403145659,1.104906140183337
MCAR,0.2,0.199,linear_interpolation,-0.014720465951890443,0.7969328704378783,0.9796665576446281
MCAR,0.2,0.199,regression,-0.026750513685451074,1.3613401370907217,0.8432264569553338
MCAR,0.3,0.288,mean,-0.02169435328736606,2.1799166802139713,0.6374444273323455
MCAR,0.3,0.288,forward_fill,0.02563454766039916,1.445422982888905,1.2132821256464945
MCAR,0.3,0.288,linear_interpolation,-0.0018071310295064286,1.003089570165654,0.945768905858234
MCAR,0.3,0.288,regression,-0.022277959723546695,1.5971780533275688,0.7652554754808918
MCAR,0.4,0.387,mean,0.06682026056419482,2.3548018829942086,0.5772372426948281
MCAR,0.4,0.387,forward_fill,0.08862180792023672,1.7008866582150255,1.2019874511754665
MCAR,0.4,0.387,linear_interpolation,0.07274246014981275,1.2510332063347873,0.917532634029305
MCAR,0.4,0.387,regression,0.07306848836026222,1.8205455973171225,0.7321024725669493
MCAR,0.5,0.503,mean,0.01742553886938611,2.5913864421810096,0.4876313640354176
MCAR,0.5,0.503,forward_fill,0.004895949941202737,2.0703517788506405,0.9457958060193282
MCAR,0.5,0.503,linear_interpolation,0.04680660228011235,1.4520187173669385,0.8272604477930086
MCAR,0.5,0.503,regression,-0.00035056540252902113,2.07748172735708,0.662999832061601
MCAR,0.6,0.613,mean,-0.10584191143630858,2.75379870125718,0.42222311790619166
MCAR,0.6,0.613,forward_fill,-0.04494212421009497,2.570935852341965,1.1058270429903645
